"X1","X2","X3","X4"
"HOT","http://www.google.com/finance?q=HOT","Starwood Hotels & Resorts Worldwide Inc.","0.074692"
"BWA","http://www.google.com/finance?q=BWA","BorgWarner Inc.","0.074685"
"ETR","http://www.google.com/finance?q=ETR","Entergy Corporation","0.074603"
"PFG","http://www.google.com/finance?q=PFG","Principal Financial Group Inc.","0.074530"
"HSY","http://www.google.com/finance?q=HSY","Hershey Company","0.074461"
"CF","http://www.google.com/finance?q=CF","CF Industries Holdings Inc.","0.074048"
"AKAM","http://www.google.com/finance?q=AKAM","Akamai Technologies Inc.","0.073743"
"ADSK","http://www.google.com/finance?q=ADSK","Autodesk Inc.","0.073617"
"EQIX","http://www.google.com/finance?q=EQIX","Equinix Inc","0.073104"
"COG","http://www.google.com/finance?q=COG","Cabot Oil & Gas Corporation","0.072962"
"UA","http://www.google.com/finance?q=UA","Under Armour Inc. Class A","0.072089"
"MNK","http://www.google.com/finance?q=MNK","Mallinckrodt Plc","0.071484"
"COL","http://www.google.com/finance?q=COL","Rockwell Collins Inc.","0.070518"
"RF","http://www.google.com/finance?q=RF","Regions Financial Corporation","0.070476"
"BBBY","http://www.google.com/finance?q=BBBY","Bed Bath & Beyond Inc.","0.070009"
"EQT","http://www.google.com/finance?q=EQT","EQT Corporation","0.069608"
"KORS","http://www.google.com/finance?q=KORS","Michael Kors Holdings Ltd","0.068696"
"AME","http://www.google.com/finance?q=AME","AMETEK Inc.","0.068426"
"BCR","http://www.google.com/finance?q=BCR","C. R. Bard Inc.","0.068358"
"HBI","http://www.google.com/finance?q=HBI","Hanesbrands Inc.","0.067458"
"LH","http://www.google.com/finance?q=LH","Laboratory Corporation of America Holdings","0.067392"
"SLG","http://www.google.com/finance?q=SLG","SL Green Realty Corp.","0.067327"
"NEM","http://www.google.com/finance?q=NEM","Newmont Mining Corporation","0.067312"
"DOV","http://www.google.com/finance?q=DOV","Dover Corporation","0.067031"
"TSCO","http://www.google.com/finance?q=TSCO","Tractor Supply Company","0.066450"
"L","http://www.google.com/finance?q=L","Loews Corporation","0.066304"
"KEY","http://www.google.com/finance?q=KEY","KeyCorp","0.066073"
"HOG","http://www.google.com/finance?q=HOG","Harley-Davidson Inc.","0.065949"
"ALTR","http://www.google.com/finance?q=ALTR","Altera Corporation","0.065643"
"AMG","http://www.google.com/finance?q=AMG","Affiliated Managers Group Inc.","0.065449"
"XRX","http://www.google.com/finance?q=XRX","Xerox Corporation","0.065057"
"TXT","http://www.google.com/finance?q=TXT","Textron Inc.","0.064995"
"LRCX","http://www.google.com/finance?q=LRCX","Lam Research Corporation","0.064813"
"SJM","http://www.google.com/finance?q=SJM","J. M. Smucker Company","0.064180"
"TAP","http://www.google.com/finance?q=TAP","Molson Coors Brewing Company Class B","0.063519"
"EFX","http://www.google.com/finance?q=EFX","Equifax Inc.","0.063107"
"HSIC","http://www.google.com/finance?q=HSIC","Henry Schein Inc.","0.062832"
"RCL","http://www.google.com/finance?q=RCL","Royal Caribbean Cruises Ltd.","0.062707"
"PNR","http://www.google.com/finance?q=PNR","Pentair plc","0.062593"
"KSU","http://www.google.com/finance?q=KSU","Kansas City Southern","0.062139"
"MSI","http://www.google.com/finance?q=MSI","Motorola Solutions Inc.","0.062089"
"MAC","http://www.google.com/finance?q=MAC","Macerich Company","0.061921"
"XLNX","http://www.google.com/finance?q=XLNX","Xilinx Inc.","0.061867"
"COH","http://www.google.com/finance?q=COH","Coach Inc.","0.061809"
"FAST","http://www.google.com/finance?q=FAST","Fastenal Company","0.061220"
